transect_id,latitude,longitude,measurement_date,distance_from_baseline_m,elevation_m,erosion_rate_m_per_year,beach_width_m,sediment_type,wave_height_m
T001,25.7909,-80.1263,2020-01-15,125.5,1.2,-1.5,45,fine_sand,0.8
T001,25.7909,-80.1263,2021-01-15,124.0,1.1,-1.5,43,fine_sand,0.9
T001,25.7909,-80.1263,2022-01-15,122.5,1.0,-1.5,41,fine_sand,0.8
T001,25.7909,-80.1263,2023-01-15,121.0,0.9,-1.5,39,fine_sand,1.0
T001,25.7909,-80.1263,2024-01-15,119.5,0.8,-1.5,37,fine_sand,0.9
T002,25.7809,-80.1263,2020-01-15,132.2,1.5,-1.2,52,coarse_sand,0.7
T002,25.7809,-80.1263,2021-01-15,131.0,1.4,-1.2,50,coarse_sand,0.8
T002,25.7809,-80.1263,2022-01-15,129.8,1.3,-1.2,48,coarse_sand,0.7
T002,25.7809,-80.1263,2023-01-15,128.6,1.2,-1.2,46,coarse_sand,0.9
T002,25.7809,-80.1263,2024-01-15,127.4,1.1,-1.2,44,coarse_sand,0.8